date	high	low
20101001	59.5	57.0
20101002	59.5	53.4
20101003	59.0	53.4
20101004	59.4	54.7
20101005	58.3	52.7
20101006	62.1	54.5
20101007	60.8	53.4
20101008	61.0	52.5
20101009	62.4	52.9
20101010	65.3	54.0
20101011	70.3	55.0
20101012	82.2	58.6
20101013	75.6	57.4
20101014	75.7	57.7
20101015	68.4	54.7
20101016	56.3	52.7
20101017	54.3	51.8
20101018	54.9	51.4
20101019	54.7	50.2
20101020	56.5	50.0
20101021	62.6	55.4
20101022	59.9	53.8
20101023	62.2	52.2
20101024	63.0	57.9
20101025	58.5	54.3
20101026	59.5	51.3
20101027	59.4	49.8
20101028	66.6	55.8
20101029	64.9	53.2
20101030	59.9	52.3
20101031	60.4	53.2
20101101	64.4	54.1
20101102	66.6	54.7
20101103	67.8	57.2
20101104	73.2	62.4
20101105	72.1	54.1
20101106	59.0	53.2
20101107	59.2	56.1
20101108	57.4	53.2
20101109	56.8	47.1
20101110	59.4	53.1
20101111	61.2	51.8
20101112	59.2	49.6
20101113	63.1	50.7
20101114	72.1	57.0
20101115	75.4	62.4
20101116	65.5	55.8
20101117	60.1	52.5
20101118	55.0	48.2
20101119	55.0	48.9
20101120	54.3	44.8
20101121	54.1	47.8
